platform,year,depthmin,depthmax,Item,AvgMax,hard%,hardmm,soft%,softmm,Remarks
K9-B,2006,3.0,-12.0,Conductors,A,71.0,58.0,20.0,5.0,
K9-B,2006,-12.0,-34.5,Rows and Elevations,A,3.0,3.0,70.0,28.0,
K9-B,2006,-12.0,-34.5,Risers,A,0.0,0.0,75.0,40.0,
K9-B,2006,-12.0,-34.5,Caissons,A,0.0,0.0,35.0,20.0,
K9-B,2006,-12.0,-34.5,Conductors,A,0.0,0.0,85.0,50.0,
K9-B,2006,3.0,-12.0,Rows and Elevations,M,100.0,80.0,80.0,20.0,
K9-B,2006,3.0,-12.0,Risers,M,100.0,80.0,20.0,10.0,
K9-B,2006,3.0,-12.0,Caissons,M,100.0,50.0,70.0,20.0,
K9-B,2006,3.0,-12.0,Conductors,M,100.0,80.0,60.0,20.0,
K9-B,2006,-12.0,-34.5,Rows and Elevations,M,10.0,10.0,80.0,40.0,
K9-B,2006,-12.0,-34.5,Risers,M,0.0,0.0,100.0,60.0,
K9-B,2006,-12.0,-34.5,Caissons,M,0.0,0.0,60.0,20.0,
K9-B,2006,-12.0,-34.5,Conductors,M,0.0,0.0,100.0,80.0,
K9-B,2006,3.0,0.0,Row 1,A,,,,,
K9-B,2006,3.0,0.0,Row 2,A,100.0,80.0,0.0,0.0,
K9-B,2006,3.0,0.0,Row A,A,100.0,80.0,0.0,0.0,
K9-B,2006,3.0,0.0,Row B,A,,,,,
K9-B,2006,0.0,-12.0,Row 1,A,,,,,
K9-B,2006,0.0,-12.0,Row 2,A,50.0,30.0,50.0,20.0,
K9-B,2006,0.0,-12.0,Row A,A,50.0,40.0,50.0,20.0,
K9-B,2006,0.0,-12.0,Row B,A,,,,,
K9-B,2006,-12.0,-34.5,Row 1,A,,,,,
K9-B,2006,-12.0,-34.5,Row 2,A,0.0,0.0,80.0,40.0,
K9-B,2006,-12.0,-34.5,Row A,A,0.0,0.0,70.0,30.0,
K9-B,2006,-12.0,-34.5,Row B,A,,,,,
K9-B,2006,-12.0,-12.0,Level 1 ,A,0.0,0.0,80.0,20.0,
K9-B,2006,-12.0,-12.0,Conductor Field,A,10.0,10.0,50.0,20.0,
